metric,f_statistic,p_value,eta_squared,significant
HALT-RAG_calibrated_confidence,2.515814029666862,0.08339038205501771,0.024905150285954226,False
HALT-RAG_abstention_score,6.001295895509319,0.00295109786483164,0.05742795669739851,True
MetaRAG_factoid_consistency,28.032630514355816,1.934277729636878e-11,0.22154467508027778,True
MetaRAG_synonym_stability,1.756918110912736,0.1752690363136741,0.01752415837248309,False
MetaRAG_antonym_detection,1.4704476587158783,0.232333842333531,0.014708823388845521,False
MetaRAG_metarag_score,16.637125473397404,2.1074317417948402e-07,0.1444983571110729,True
KG-RAG_kg_faithfulness,28.602027157293588,1.2429386708915568e-11,0.22503202975588638,True
KG-RAG_kg_relevancy,11.44570836333524,1.983389250703424e-05,0.10410327545947361,True
KG-RAG_community_overlap,29.229841774799862,7.65014815463372e-12,0.2288411335100136,True
KG-RAG_multi_hop_score,10.32822382694318,5.425339246806046e-05,0.09490390878166823,True
GaRAGe_relevance_aware_factuality,8.25397365745314,0.0003611102557263436,0.07731771825129519,True
GaRAGe_grounding_precision,5.777839769046632,0.0036437969898758253,0.05540812680664773,True
GaRAGe_deflection_score,4.006499179740839,0.01969951979035658,0.03908531860712183,True
GaRAGe_over_summarization,1.6728246993251261,0.1903713347703447,0.016699386329038942,False
HSAD_spectral_consistency,19.732779104544225,1.5444923282241144e-08,0.16689770175406296,True
HSAD_temporal_stability,15.128171987553593,7.72850939369926e-07,0.13313751090892023,True
HSAD_confidence_score,31.74960730502679,1.1168403030827617e-12,0.24375971614773131,True
HSAD_hallucination_probability,3.069804311335384,0.048657977733280476,0.030223591865213315,True
SIRG_semantic_grounding,8.420982165752323,0.00030957733997804,0.07875893014804014,True
SIRG_linking_ratio,0.3863269946835937,0.6800619629495792,0.003906778686444349,False
SIRG_attribution_consistency,16.044279699504678,3.5041949290278476e-07,0.1400705451341196,True
SIRG_sirg_score,9.477087340529945,0.00011757237399362567,0.08776942936645268,True
