framework_1,framework_2,metric_1,metric_2,pearson_r,pearson_p,spearman_rho,spearman_p,kendall_tau,kendall_p
FaithJudge,QAFactEval,faithfulness,factual_consistency,-0.05677214053998913,0.4245855612264639,-0.15492867582137,0.02848564274903369,-0.11401616467636122,0.028654086933295575
FaithJudge,RAGAS,faithfulness,faithfulness,0.6874701577242622,2.5354000152942555e-29,0.49212278360278444,1.352700209450232e-13,0.4220483573599463,9.058724549053021e-13
FaithJudge,RAGChecker,faithfulness,faithfulness,-0.03431953596963691,0.6294852517965273,-0.030911154003939397,0.6639155808319407,-0.022828219207793002,0.678671042199668
FaithJudge,TRACe,faithfulness,adherence,0.12200382073913997,0.08524814986345836,0.28622195802643124,3.978794354099591e-05,0.20393857080003883,8.52279569163232e-05
FaithJudge,UniEval,faithfulness,consistency,0.12862232634087817,0.0695024240508776,0.19396802524754808,0.005921169911341384,0.14155337208481497,0.006386422172582834
G-Eval,QAFactEval,consistency,factual_consistency,-0.0030304585766243873,0.9660294650324797,0.03326338014402715,0.6400734680132274,0.026163086570123607,0.6431841208967835
G-Eval,RAGAS,consistency,faithfulness,0.558679641602213,8.218757289141647e-18,0.4461771429500351,3.5551417959866793e-11,0.4065923761386214,2.18609788764165e-10
G-Eval,RAGAS,relevance,answer_relevancy,0.8299154792607139,4.4620634210968796e-52,0.6547037776782885,7.386902982610534e-26,0.6380430116294145,2.2381794437651273e-21
G-Eval,RAGChecker,consistency,faithfulness,0.033753023870820735,0.6351554550087104,0.025394616308038603,0.7211362635576652,0.021944156884518003,0.7133591750569492
G-Eval,TRACe,consistency,adherence,0.005457708307084461,0.9388618620090083,0.04932806067500036,0.48789926045990967,0.04098720288201404,0.46627349667151097
G-Eval,TRACe,relevance,relevance,-0.12351658590454546,0.0814178305820882,-0.11852065193111297,0.09461787212101296,-0.09516634548556263,0.09513138823684478
G-Eval,UniEval,coherence,coherence,-0.1507916545775576,0.03306019475215568,-0.09513471970292449,0.18024003757189083,-0.07489383407336019,0.17757028316024215
G-Eval,UniEval,consistency,consistency,0.019905441321462245,0.7796549783881472,0.04391165495759731,0.5369643241422873,0.033874456177976894,0.5470908051466267
G-Eval,UniEval,fluency,fluency,0.23768974511333277,0.0007012945056752313,0.0674932880105283,0.34231568699870596,0.05600642490718285,0.3367931565536655
G-Eval,UniEval,relevance,relevance,0.10709272275052573,0.13120405341555713,0.09417114354517321,0.18471288600699082,0.07606647536123169,0.17995626823690958
LUMINA,RAGChecker,context_utilization,context_utilization,0.1394217101361303,0.04895432547176434,0.12911471685802337,0.06843265787876006,0.08571157398561517,0.0756784442925261
QAFactEval,RAGAS,factual_consistency,faithfulness,-0.039565066454875564,0.5780432328724588,-0.11261054532464511,0.11237105360485125,-0.0902974683628373,0.09640471133578027
QAFactEval,RAGChecker,factual_consistency,faithfulness,0.18642386109131387,0.008214644068821888,-0.009320708690075192,0.8957821503162872,-0.005809261749643149,0.9087245942838825
QAFactEval,TRACe,factual_consistency,adherence,-0.19517412787753916,0.005613143920145589,-0.2030418950194841,0.003932264407812382,-0.1369212070749678,0.004127647690352502
QAFactEval,UniEval,factual_consistency,consistency,-0.14951663099224768,0.034590195271619786,-0.14312127546122114,0.04319970872655585,-0.0982622890434804,0.03955103091092235
RAGAS,RAGChecker,faithfulness,faithfulness,-0.041730808496898024,0.557392276076937,-0.06188305694516005,0.3840229990579016,-0.05024780039563425,0.3817200330367978
RAGAS,RAGChecker,context_recall,claim_recall,0.07594138359011837,0.28516619356190503,0.0860460443777742,0.22570550195446892,0.06684078908015399,0.22455514397522758
RAGAS,TRACe,faithfulness,adherence,0.35215447296974317,3.158057567080516e-07,0.4622685407659707,5.5484874165243484e-12,0.3547729005767345,5.4756720000137945e-11
RAGAS,TRACe,answer_relevancy,relevance,-0.09921597700342309,0.16217848643132263,-0.05276323573795396,0.45807232045846247,-0.041681054607928425,0.46129342600555034
RAGAS,UniEval,faithfulness,consistency,0.31879969614529763,4.20735251869062e-06,0.42357375973093736,4.120536460363208e-10,0.32478051870979574,1.9366543979468824e-09
RAGAS,UniEval,answer_relevancy,relevance,0.16871641076825744,0.016931107413151653,0.16350835410538292,0.020697649258466375,0.13176241245327897,0.01923278556131283
RAGChecker,TRACe,faithfulness,adherence,-0.03668751279150206,0.6060210976036744,-0.1669130270996071,0.018161593834351456,-0.11640800122953238,0.02109671399855269
RAGChecker,UniEval,faithfulness,consistency,-0.0013714689458654786,0.9846225755611029,-0.13436938016843267,0.057831810212071136,-0.0979429002222678,0.052328336386687296
TRACe,UniEval,relevance,relevance,0.18522146163947306,0.00864537165777002,0.1973042608404697,0.005104000824906144,0.13106442858281184,0.0061057593214056865
TRACe,UniEval,adherence,consistency,0.856091480473316,1.1525332189537198e-58,0.8027975699392487,2.411718858995372e-46,0.6114572864321608,7.717277085385764e-38
